device_id,segment_code,start_time,end_time,activity_level
927,1,2015-02-18 14:00:00,2015-02-18 15:32:00,light
927,1,2015-02-18 15:33:00,2015-02-18 17:07:00,light
927,1,2015-02-18 17:08:00,2015-02-18 18:32:00,light
927,1,2015-02-18 18:33:00,2015-02-18 20:23:00,light
927,1,2015-02-18 20:24:00,2015-02-18 22:00:00,light
927,1,2015-02-18 22:01:00,2015-02-18 22:22:00,sedentary
927,1,2015-02-18 22:23:00,2015-02-19 05:50:00,sleep
927,2,2015-02-19 05:51:00,2015-02-19 07:10:00,light
927,2,2015-02-19 07:11:00,2015-02-19 07:41:00,light
927,2,2015-02-19 07:42:00,2015-02-19 08:40:00,light
927,2,2015-02-19 08:41:00,2015-02-19 10:04:00,light
927,2,2015-02-19 10:05:00,2015-02-19 11:26:00,light
927,2,2015-02-19 11:27:00,2015-02-19 12:57:00,light
927,2,2015-02-19 12:58:00,2015-02-19 13:28:00,light
927,2,2015-02-19 13:29:00,2015-02-19 14:22:00,light
927,2,2015-02-19 14:23:00,2015-02-19 15:31:00,light
927,2,2015-02-19 15:32:00,2015-02-19 16:04:00,light
927,2,2015-02-19 16:05:00,2015-02-19 16:52:00,light
927,2,2015-02-19 16:53:00,2015-02-19 17:36:00,sedentary
927,2,2015-02-19 17:37:00,2015-02-20 04:27:00,sleep
927,3,2015-02-20 04:28:00,2015-02-20 06:00:00,light
927,3,2015-02-20 06:01:00,2015-02-20 08:39:00,light
927,3,2015-02-20 08:40:00,2015-02-20 09:12:00,light
927,3,2015-02-20 09:13:00,2015-02-20 11:15:00,light
927,3,2015-02-20 11:16:00,2015-02-20 12:04:00,light
927,3,2015-02-20 12:05:00,2015-02-20 12:59:00,light
927,3,2015-02-20 13:00:00,2015-02-20 14:01:00,light
927,3,2015-02-20 14:02:00,2015-02-20 16:55:00,light
927,3,2015-02-20 16:56:00,2015-02-20 17:54:00,moderate
927,3,2015-02-20 17:55:00,2015-02-20 20:34:00,light
927,3,2015-02-20 20:35:00,2015-02-20 21:04:00,moderate
927,3,2015-02-20 21:05:00,2015-02-20 21:46:00,light
927,3,2015-02-20 21:47:00,2015-02-20 22:49:00,light
927,3,2015-02-20 22:50:00,2015-02-21 02:03:00,light
927,3,2015-02-21 02:04:00,2015-02-21 02:53:00,light
927,3,2015-02-21 02:54:00,2015-02-21 03:18:00,sedentary
927,3,2015-02-21 03:19:00,2015-02-21 12:43:00,sleep
927,4,2015-02-21 12:44:00,2015-02-21 13:26:00,light
927,4,2015-02-21 13:27:00,2015-02-21 15:46:00,light
927,4,2015-02-21 15:47:00,2015-02-21 17:34:00,light
927,4,2015-02-21 17:35:00,2015-02-21 18:04:00,light
927,4,2015-02-21 18:05:00,2015-02-21 19:38:00,light
927,4,2015-02-21 19:39:00,2015-02-21 20:15:00,light
927,4,2015-02-21 20:16:00,2015-02-21 20:57:00,light
927,4,2015-02-21 20:58:00,2015-02-21 21:27:00,light
927,4,2015-02-21 21:28:00,2015-02-21 22:16:00,light
927,4,2015-02-21 22:17:00,2015-02-22 01:43:00,light
927,4,2015-02-22 01:44:00,2015-02-22 01:59:00,sedentary
927,4,2015-02-22 02:00:00,2015-02-22 06:00:00,sleep
927,5,2015-02-22 06:01:00,2015-02-22 06:30:00,moderate
927,5,2015-02-22 06:31:00,2015-02-22 07:15:00,light
927,5,2015-02-22 07:16:00,2015-02-22 09:37:00,light
927,5,2015-02-22 09:38:00,2015-02-22 10:58:00,light
927,5,2015-02-22 10:59:00,2015-02-22 11:28:00,light
927,5,2015-02-22 11:29:00,2015-02-22 12:59:00,light
927,5,2015-02-22 13:00:00,2015-02-22 13:56:00,light
927,5,2015-02-22 13:57:00,2015-02-22 15:25:00,light
927,5,2015-02-22 15:26:00,2015-02-22 18:21:00,light
927,5,2015-02-22 18:22:00,2015-02-22 19:02:00,light
927,5,2015-02-22 19:03:00,2015-02-22 20:45:00,light
927,5,2015-02-22 20:46:00,2015-02-22 22:24:00,light
927,5,2015-02-22 22:25:00,2015-02-22 22:27:00,sedentary
927,5,2015-02-22 22:28:00,2015-02-23 06:04:00,sleep
927,6,2015-02-23 06:05:00,2015-02-23 07:18:00,light
927,6,2015-02-23 07:19:00,2015-02-23 08:45:00,light
927,6,2015-02-23 08:46:00,2015-02-23 09:31:00,light
927,6,2015-02-23 09:32:00,2015-02-23 10:06:00,light
927,6,2015-02-23 10:07:00,2015-02-23 10:45:00,light
927,6,2015-02-23 10:46:00,2015-02-23 12:14:00,light
927,6,2015-02-23 12:15:00,2015-02-23 13:12:00,light
927,6,2015-02-23 13:13:00,2015-02-23 13:42:00,light
927,6,2015-02-23 13:43:00,2015-02-23 15:36:00,light
927,6,2015-02-23 15:37:00,2015-02-23 19:43:00,light
927,6,2015-02-23 19:44:00,2015-02-23 20:16:00,light
927,6,2015-02-23 20:17:00,2015-02-23 21:59:00,light
927,6,2015-02-23 22:00:00,2015-02-23 22:26:00,sedentary
927,6,2015-02-23 22:27:00,2015-02-24 05:31:00,sleep
927,7,2015-02-24 05:32:00,2015-02-24 07:01:00,sedentary
927,7,2015-02-24 07:02:00,2015-02-24 07:31:00,moderate
927,7,2015-02-24 07:32:00,2015-02-24 09:15:00,light
927,7,2015-02-24 09:16:00,2015-02-24 10:15:00,light
927,7,2015-02-24 10:16:00,2015-02-24 10:19:00,sedentary
927,7,2015-02-24 10:20:00,2015-02-25 06:12:00,sleep
